wavelength,readnoise,dark_counts,sky_counts,thermal,target_counts,total_counts
9700.0000,61816,5075,1.7719e+05,12956,2693.9,1.9791e+05
9746.5000,61816,5075,1.7719e+05,12956,9070.9,2.0429e+05
9793.0000,61816,5075,1.7719e+05,12956,13922,2.0914e+05
9839.5000,61816,5075,1.7719e+05,12956,14077,2.093e+05
9886.0000,61816,5075,1.7719e+05,12956,13306,2.0852e+05
9932.5000,61816,5075,1.7719e+05,12956,15011,2.1023e+05
9979.0000,61816,5075,1.7719e+05,12956,18676,2.1389e+05
10025.5000,61816,5075,1.7719e+05,12956,23855,2.1907e+05
10072.0000,61816,5075,1.7719e+05,12956,32436,2.2765e+05
10118.5000,61816,5075,1.7719e+05,12956,41477,2.367e+05
10165.0000,61816,5075,1.7719e+05,12956,48167,2.4339e+05
10211.5000,61816,5075,1.7719e+05,12956,61887,2.5711e+05
10258.0000,61816,5075,1.7719e+05,12956,95261,2.9048e+05
10304.5000,61816,5075,1.7719e+05,12956,1.3443e+05,3.2965e+05
10351.0000,61816,5075,1.7719e+05,12956,1.7505e+05,3.7027e+05
10397.5000,61816,5075,1.7719e+05,12956,2.171e+05,4.1232e+05
10444.0000,61816,5075,1.7719e+05,12956,3.2438e+05,5.196e+05
10490.5000,61816,5075,1.7719e+05,12956,4.5815e+05,6.5337e+05
10537.0000,61816,5075,1.7719e+05,12956,6.5404e+05,8.4926e+05
10583.5000,61816,5075,1.7719e+05,12956,8.887e+05,1.0839e+06
10630.0000,61816,5075,1.7719e+05,12956,1.1271e+06,1.3223e+06
10676.5000,61816,5075,1.7719e+05,12956,1.3749e+06,1.5701e+06
10723.0000,61816,5075,1.7719e+05,12956,2.1392e+06,2.3344e+06
10769.5000,61816,5075,1.7719e+05,12956,3.5638e+06,3.759e+06
10816.0000,61816,5075,1.7719e+05,12956,4.8281e+06,5.0233e+06
10862.5000,61816,5075,1.7719e+05,12956,5.7677e+06,5.963e+06
10909.0000,61816,5075,1.7719e+05,12956,6.7445e+06,6.9397e+06
10955.5000,61816,5075,1.7719e+05,12956,7.934e+06,8.1292e+06
11002.0000,61816,5075,1.7719e+05,12956,9.1188e+06,9.314e+06
11048.5000,61816,5075,1.7719e+05,12956,1.0204e+07,1.0399e+07
11095.0000,61816,5075,1.7719e+05,12956,1.1224e+07,1.1419e+07
11141.5000,61816,5075,1.7719e+05,12956,1.171e+07,1.1906e+07
11188.0000,61816,5075,1.7719e+05,12956,1.2023e+07,1.2219e+07
11234.5000,61816,5075,1.7719e+05,12956,1.2102e+07,1.2297e+07
11281.0000,61816,5075,1.7719e+05,12956,1.2053e+07,1.2249e+07
11327.5000,61816,5075,1.7719e+05,12956,1.2026e+07,1.2222e+07
11374.0000,61816,5075,1.7719e+05,12956,1.2019e+07,1.2215e+07
11420.5000,61816,5075,1.7719e+05,12956,1.1966e+07,1.2161e+07
11467.0000,61816,5075,1.7719e+05,12956,1.1844e+07,1.2039e+07
11513.5000,61816,5075,1.7719e+05,12956,1.1745e+07,1.194e+07
11560.0000,61816,5075,1.7719e+05,12956,1.1707e+07,1.1902e+07
11606.5000,61816,5075,1.7719e+05,12956,1.1704e+07,1.1899e+07
11653.0000,61816,5075,1.7719e+05,12956,1.1848e+07,1.2043e+07
11699.5000,61816,5075,1.7719e+05,12956,1.1991e+07,1.2186e+07
11746.0000,61816,5075,1.7719e+05,12956,1.203e+07,1.2225e+07
11792.5000,61816,5075,1.7719e+05,12956,1.2038e+07,1.2233e+07
11839.0000,61816,5075,1.7719e+05,12956,1.1981e+07,1.2176e+07
11885.5000,61816,5075,1.7719e+05,12956,1.1897e+07,1.2093e+07
11932.0000,61816,5075,1.7719e+05,12956,1.1802e+07,1.1997e+07
11978.5000,61816,5075,1.7719e+05,12956,1.1703e+07,1.1898e+07
12025.0000,61816,5075,1.7719e+05,12956,1.1674e+07,1.1869e+07
12071.5000,61816,5075,1.7719e+05,12956,1.1723e+07,1.1918e+07
12118.0000,61816,5075,1.7719e+05,12956,1.1794e+07,1.1989e+07
12164.5000,61816,5075,1.7719e+05,12956,1.1908e+07,1.2103e+07
12211.0000,61816,5075,1.7719e+05,12956,1.1979e+07,1.2174e+07
12257.5000,61816,5075,1.7719e+05,12956,1.1901e+07,1.2096e+07
12304.0000,61816,5075,1.7719e+05,12956,1.1806e+07,1.2002e+07
12350.5000,61816,5075,1.7719e+05,12956,1.168e+07,1.1876e+07
12397.0000,61816,5075,1.7719e+05,12956,1.1565e+07,1.176e+07
12443.5000,61816,5075,1.7719e+05,12956,1.1589e+07,1.1784e+07
12490.0000,61816,5075,1.7719e+05,12956,1.164e+07,1.1836e+07
12536.5000,61816,5075,1.7719e+05,12956,1.1396e+07,1.1591e+07
12583.0000,61816,5075,1.7719e+05,12956,1.1024e+07,1.1219e+07
12629.5000,61816,5075,1.7719e+05,12956,1.0865e+07,1.1061e+07
12676.0000,61816,5075,1.7719e+05,12956,1.0873e+07,1.1069e+07
12722.5000,61816,5075,1.7719e+05,12956,1.0861e+07,1.1056e+07
12769.0000,61816,5075,1.7719e+05,12956,1.0819e+07,1.1014e+07
12815.5000,61816,5075,1.7719e+05,12956,1.0805e+07,1.1e+07
12862.0000,61816,5075,1.7719e+05,12956,1.0852e+07,1.1047e+07
12908.5000,61816,5075,1.7719e+05,12956,1.0907e+07,1.1103e+07
12955.0000,61816,5075,1.7719e+05,12956,1.0984e+07,1.1179e+07
13001.5000,61816,5075,1.7719e+05,12956,1.1044e+07,1.1239e+07
13048.0000,61816,5075,1.7719e+05,12956,1.099e+07,1.1185e+07
13094.5000,61816,5075,1.7719e+05,12956,1.0901e+07,1.1097e+07
13141.0000,61816,5075,1.7719e+05,12956,1.0632e+07,1.0827e+07
13187.5000,61816,5075,1.7719e+05,12956,1.031e+07,1.0505e+07
13234.0000,61816,5075,1.7719e+05,12956,1.0155e+07,1.035e+07
13280.5000,61816,5075,1.7719e+05,12956,1.0094e+07,1.0289e+07
13327.0000,61816,5075,1.7719e+05,12956,1.0115e+07,1.031e+07
13373.5000,61816,5075,1.7719e+05,12956,1.0211e+07,1.0406e+07
13420.0000,61816,5075,1.7719e+05,12956,1.0273e+07,1.0468e+07
13466.5000,0,5075,1.7719e+05,12956,1.0281e+07,1.0476e+07
13513.0000,0,5075,1.7719e+05,12956,1.0271e+07,1.0466e+07
13559.5000,0,5075,1.7719e+05,12956,1.0217e+07,1.0412e+07
13606.0000,0,5075,1.7719e+05,12956,1.0103e+07,1.0298e+07
13652.5000,0,5075,1.7719e+05,12956,9.7129e+06,9.9081e+06
13699.0000,0,5075,1.7719e+05,12956,9.3322e+06,9.5274e+06
13745.5000,0,5075,1.7719e+05,12956,9.2458e+06,9.441e+06
13792.0000,0,5075,1.7719e+05,12956,9.2262e+06,9.4214e+06
