wavelength,readnoise,dark_counts,sky_counts,thermal,target_counts,total_counts
9700.0000,17692,1456.1,50840,3717.3,370.22,56383
9746.5000,17692,1456.1,50840,3717.3,1261.3,57274
9793.0000,17692,1456.1,50840,3717.3,1913,57926
9839.5000,17692,1456.1,50840,3717.3,1930.5,57943
9886.0000,17692,1456.1,50840,3717.3,1837.9,57851
9932.5000,17692,1456.1,50840,3717.3,2137.9,58151
9979.0000,17692,1456.1,50840,3717.3,2621.1,58634
10025.5000,17692,1456.1,50840,3717.3,3483.6,59497
10072.0000,17692,1456.1,50840,3717.3,4700.3,60713
10118.5000,17692,1456.1,50840,3717.3,5870.7,61884
10165.0000,17692,1456.1,50840,3717.3,6597.1,62610
10211.5000,17692,1456.1,50840,3717.3,8260.7,64274
10258.0000,17692,1456.1,50840,3717.3,13529,69542
10304.5000,17692,1456.1,50840,3717.3,19483,75496
10351.0000,17692,1456.1,50840,3717.3,25354,81367
10397.5000,17692,1456.1,50840,3717.3,32176,88189
10444.0000,17692,1456.1,50840,3717.3,49216,1.0523e+05
10490.5000,17692,1456.1,50840,3717.3,68893,1.2491e+05
10537.0000,17692,1456.1,50840,3717.3,99254,1.5527e+05
10583.5000,17692,1456.1,50840,3717.3,1.3384e+05,1.8985e+05
10630.0000,17692,1456.1,50840,3717.3,1.714e+05,2.2742e+05
10676.5000,17692,1456.1,50840,3717.3,2.0977e+05,2.6579e+05
10723.0000,17692,1456.1,50840,3717.3,3.2837e+05,3.8438e+05
10769.5000,17692,1456.1,50840,3717.3,5.5028e+05,6.0629e+05
10816.0000,17692,1456.1,50840,3717.3,7.5006e+05,8.0607e+05
10862.5000,17692,1456.1,50840,3717.3,9.0175e+05,9.5777e+05
10909.0000,17692,1456.1,50840,3717.3,1.0614e+06,1.1174e+06
10955.5000,17692,1456.1,50840,3717.3,1.2571e+06,1.3131e+06
11002.0000,17692,1456.1,50840,3717.3,1.4549e+06,1.5109e+06
11048.5000,17692,1456.1,50840,3717.3,1.6396e+06,1.6957e+06
11095.0000,17692,1456.1,50840,3717.3,1.8167e+06,1.8728e+06
11141.5000,17692,1456.1,50840,3717.3,1.9096e+06,1.9656e+06
11188.0000,17692,1456.1,50840,3717.3,1.9757e+06,2.0318e+06
11234.5000,17692,1456.1,50840,3717.3,2.0041e+06,2.0602e+06
11281.0000,17692,1456.1,50840,3717.3,2.0122e+06,2.0682e+06
