wavelength,readnoise,dark_counts,sky_counts,thermal,target_counts,total_counts
9700.0000,79296,6488.4,2.2653e+05,16564,2416.5,2.52e+05
9746.5000,79296,6488.4,2.2653e+05,16564,8286.8,2.5787e+05
9793.0000,79296,6488.4,2.2653e+05,16564,12231,2.6182e+05
9839.5000,79296,6488.4,2.2653e+05,16564,12769,2.6236e+05
9886.0000,79296,6488.4,2.2653e+05,16564,11772,2.6136e+05
9932.5000,79296,6488.4,2.2653e+05,16564,13570,2.6316e+05
9979.0000,79296,6488.4,2.2653e+05,16564,16758,2.6634e+05
10025.5000,79296,6488.4,2.2653e+05,16564,22046,2.7163e+05
10072.0000,79296,6488.4,2.2653e+05,16564,30521,2.8011e+05
10118.5000,79296,6488.4,2.2653e+05,16564,37310,2.869e+05
10165.0000,79296,6488.4,2.2653e+05,16564,42094,2.9168e+05
10211.5000,79296,6488.4,2.2653e+05,16564,53449,3.0304e+05
10258.0000,79296,6488.4,2.2653e+05,16564,85419,3.3501e+05
10304.5000,79296,6488.4,2.2653e+05,16564,1.2203e+05,3.7161e+05
10351.0000,79296,6488.4,2.2653e+05,16564,1.5836e+05,4.0794e+05
10397.5000,79296,6488.4,2.2653e+05,16564,2.036e+05,4.5318e+05
10444.0000,79296,6488.4,2.2653e+05,16564,3.0527e+05,5.5486e+05
10490.5000,79296,6488.4,2.2653e+05,16564,4.3105e+05,6.8064e+05
10537.0000,79296,6488.4,2.2653e+05,16564,6.1247e+05,8.6206e+05
10583.5000,79296,6488.4,2.2653e+05,16564,8.3383e+05,1.0834e+06
10630.0000,79296,6488.4,2.2653e+05,16564,1.0591e+06,1.3086e+06
10676.5000,79296,6488.4,2.2653e+05,16564,1.2924e+06,1.542e+06
10723.0000,79296,6488.4,2.2653e+05,16564,2.0164e+06,2.2659e+06
10769.5000,79296,6488.4,2.2653e+05,16564,3.3681e+06,3.6177e+06
10816.0000,79296,6488.4,2.2653e+05,16564,4.5755e+06,4.8251e+06
10862.5000,79296,6488.4,2.2653e+05,16564,5.4815e+06,5.7311e+06
10909.0000,79296,6488.4,2.2653e+05,16564,6.4286e+06,6.6782e+06
10955.5000,79296,6488.4,2.2653e+05,16564,7.5851e+06,7.8347e+06
11002.0000,79296,6488.4,2.2653e+05,16564,8.7446e+06,8.9942e+06
11048.5000,79296,6488.4,2.2653e+05,16564,9.816e+06,1.0066e+07
11095.0000,79296,6488.4,2.2653e+05,16564,1.0832e+07,1.1081e+07
11141.5000,79296,6488.4,2.2653e+05,16564,1.1338e+07,1.1588e+07
11188.0000,79296,6488.4,2.2653e+05,16564,1.1681e+07,1.193e+07
11234.5000,79296,6488.4,2.2653e+05,16564,1.1797e+07,1.2046e+07
11281.0000,79296,6488.4,2.2653e+05,16564,1.1791e+07,1.204e+07
11327.5000,79296,6488.4,2.2653e+05,16564,1.1806e+07,1.2056e+07
11374.0000,79296,6488.4,2.2653e+05,16564,1.1842e+07,1.2092e+07
11420.5000,79296,6488.4,2.2653e+05,16564,1.1833e+07,1.2083e+07
11467.0000,79296,6488.4,2.2653e+05,16564,1.1757e+07,1.2007e+07
11513.5000,79296,6488.4,2.2653e+05,16564,1.1703e+07,1.1953e+07
11560.0000,79296,6488.4,2.2653e+05,16564,1.1711e+07,1.196e+07
11606.5000,79296,6488.4,2.2653e+05,16564,1.1754e+07,1.2003e+07
11653.0000,79296,6488.4,2.2653e+05,16564,1.1946e+07,1.2196e+07
11699.5000,79296,6488.4,2.2653e+05,16564,1.2139e+07,1.2389e+07
11746.0000,79296,6488.4,2.2653e+05,16564,1.2229e+07,1.2478e+07
11792.5000,79296,6488.4,2.2653e+05,16564,1.2288e+07,1.2538e+07
11839.0000,79296,6488.4,2.2653e+05,16564,1.2281e+07,1.2531e+07
11885.5000,79296,6488.4,2.2653e+05,16564,1.2247e+07,1.2497e+07
11932.0000,79296,6488.4,2.2653e+05,16564,1.2201e+07,1.245e+07
11978.5000,79296,6488.4,2.2653e+05,16564,1.215e+07,1.24e+07
12025.0000,79296,6488.4,2.2653e+05,16564,1.2173e+07,1.2423e+07
12071.5000,79296,6488.4,2.2653e+05,16564,1.2277e+07,1.2527e+07
12118.0000,79296,6488.4,2.2653e+05,16564,1.2405e+07,1.2654e+07
12164.5000,79296,6488.4,2.2653e+05,16564,1.258e+07,1.283e+07
12211.0000,79296,6488.4,2.2653e+05,16564,1.271e+07,1.2959e+07
